anchor,positive,negative
"def replace_spaces(text):
  return """".join("" "" if c == ""_"" else (""_"" if c == "" "" else c) for c in text)","def var1(text):
    return ''.join(' ' if var2 == '_' else '_' if var2 == ' ' else var2 for
        var2 in var3)
","import re
def remove_whitespaces(text1):
  return (re.sub(r'\s+', '',text1))"
"def is_sorted(lst):
    count_digit = dict([(i, 0) for i in lst])
    for i in lst:
        count_digit[i]+=1 
    if any(count_digit[i] > 2 for i in lst):
        return False
    if all(lst[i-1] <= lst[i] for i in range(1, len(lst))):
        return True
    else:
        return False","def var1(lst):
    var2 = dict([(var3, 0) for var3 in var4])
    for var3 in var4:
        var2[var3] += 1
    if any(var2[var3] > 2 for var3 in var4):
        return False
    if all(var4[var3 - 1] <= var4[var3] for var3 in range(1, len(var4))):
        return True
    else:
        return False
","def empty_list(length):
 empty_list = [{} for _ in range(length)]
 return empty_list"
"def split_words(txt):
    if "" "" in txt:
        return txt.split()
    elif "","" in txt:
        return txt.replace(',',' ').split()
    else:
        return len([i for i in txt if i.islower() and ord(i)%2 == 0])","def var1(txt):
    if ' ' in var2:
        return var2.split()
    elif ',' in var2:
        return var2.replace(',', ' ').split()
    else:
        return len([var3 for var3 in var2 if var3.islower() and ord(var3) %
            2 == 0])
","def odd_position(nums):
	return all(nums[i]%2==i%2 for i in range(len(nums)))"
"def add(x: int, y: int):
    return x + y","def var1(x: int, y: int):
    return var2 + var3
","import re
def remove_all_spaces(text):
 return (re.sub(r'\s+', '',text))"
"def encode(message):
    vowels = ""aeiouAEIOU""
    vowels_replace = dict([(i, chr(ord(i) + 2)) for i in vowels])
    message = message.swapcase()
    return ''.join([vowels_replace[i] if i in vowels else i for i in message])","def var1(message):
    var2 = 'aeiouAEIOU'
    var3 = dict([(var4, chr(ord(var4) + 2)) for var4 in var2])
    var5 = var5.swapcase()
    return ''.join([(var3[var4] if var4 in var2 else var4) for var4 in var5])
","def tuple_to_dict(test_tup):
  res = dict(test_tup[idx : idx + 2] for idx in range(0, len(test_tup), 2))
  return (res) "
"def sort_third(l: list):
    l = list(l)
    l[::3] = sorted(l[::3])
    return l","def var1(l: list):
    var2 = list(var2)
    var2[::3] = sorted(var2[::3])
    return var2
","def list_to_float(test_list):
  res = []
  for tup in test_list:
    temp = []
    for ele in tup:
      if ele.isalpha():
        temp.append(ele)
      else:
        temp.append(float(ele))
    res.append((temp[0],temp[1])) 
  return res"
"def max_val(listval):
     max_val = max(i for i in listval if isinstance(i, int)) 
     return(max_val)","def var1(listval):
    var1 = max(var2 for var2 in var3 if isinstance(var2, int))
    return var1
","
def remove_vowels(text):
    return """".join([s for s in text if s.lower() not in [""a"", ""e"", ""i"", ""o"", ""u""]])"
"def pairs_sum_to_zero(l):
    for i, l1 in enumerate(l):
        for j in range(i + 1, len(l)):
            if l1 + l[j] == 0:
                return True
    return False","def var1(l):
    for var2, var3 in enumerate(var4):
        for var5 in range(var2 + 1, len(var4)):
            if var3 + var4[var5] == 0:
                return True
    return False
","def even_bit_set_number(n): 
    count = 0;res = 0;temp = n 
    while(temp > 0): 
        if (count % 2 == 1): 
            res |= (1 << count)
        count+=1
        temp >>= 1
    return (n | res) "
"from typing import List

def sort_numbers(numbers: str) -> str:
    value_map = {
        'zero': 0,
        'one': 1,
        'two': 2,
        'three': 3,
        'four': 4,
        'five': 5,
        'six': 6,
        'seven': 7,
        'eight': 8,
        'nine': 9
    }
    return ' '.join(sorted([x for x in numbers.split(' ') if x], key=lambda x: value_map[x]))","from typing import List


def var1(numbers: str) ->str:
    var2 = {'zero': 0, 'one': 1, 'two': 2, 'three': 3, 'four': 4, 'five': 5,
        'six': 6, 'seven': 7, 'eight': 8, 'nine': 9}
    return ' '.join(sorted([var3 for var3 in var4.split(' ') if var3], key=
        lambda x: var2[var3]))
","
def numerical_letter_grade(grades):

   
    letter_grade = []
    for gpa in grades:
        if gpa == 4.0:
            letter_grade.append(""A+"")
        elif gpa > 3.7:
            letter_grade.append(""A"")
        elif gpa > 3.3:
            letter_grade.append(""A-"")
        elif gpa > 3.0:
            letter_grade.append(""B+"")
        elif gpa > 2.7:
            letter_grade.append(""B"")
        elif gpa > 2.3:
            letter_grade.append(""B-"")
        elif gpa > 2.0:
            letter_grade.append(""C+"")
        elif gpa > 1.7:
            letter_grade.append(""C"")
        elif gpa > 1.3:
            letter_grade.append(""C-"")
        elif gpa > 1.0:
            letter_grade.append(""D+"")
        elif gpa > 0.7:
            letter_grade.append(""D"")
        elif gpa > 0.0:
            letter_grade.append(""D-"")
        else:
            letter_grade.append(""E"")
    return letter_grade"
"def skjkasdkd(lst):
    def isPrime(n):
        for i in range(2,int(n**0.5)+1):
            if n%i==0:
                return False

        return True
    maxx = 0
    i = 0
    while i < len(lst):
        if(lst[i] > maxx and isPrime(lst[i])):
            maxx = lst[i]
        i+=1
    result = sum(int(digit) for digit in str(maxx))
    return result","def var1(lst):

    def var2(n):
        for var3 in range(2, int(var4 ** 0.5) + 1):
            if var4 % var3 == 0:
                return False
        return True
    var5 = 0
    var3 = 0
    while var3 < len(var6):
        if var6[var3] > var5 and var2(var6[var3]):
            var5 = var6[var3]
        var3 += 1
    var7 = sum(int(var8) for var8 in str(var5))
    return var7
","def interleave_lists(list1,list2,list3):
    result = [el for pair in zip(list1, list2, list3) for el in pair]
    return result"
"def is_simple_power(x, n):
    if (n == 1): 
        return (x == 1) 
    power = 1
    while (power < x): 
        power = power * n 
    return (power == x)","def var1(x, n):
    if var2 == 1:
        return var3 == 1
    var4 = 1
    while var4 < var3:
        var4 = var4 * var2
    return var4 == var3
","def cube_Sum(n): 
    sum = 0
    for i in range(1,n + 1): 
        sum += (2*i)*(2*i)*(2*i) 
    return sum"
"def geometric_sum(n):
  if n < 0:
    return 0
  else:
    return 1 / (pow(2, n)) + geometric_sum(n - 1)","def var1(n):
    if var2 < 0:
        return 0
    else:
        return 1 / pow(2, var2) + var1(var2 - 1)
","
def decimal_to_binary(decimal):
    return ""db"" + bin(decimal)[2:] + ""db"""
"def max_product_tuple(list1):
    result_max = max([abs(x * y) for x, y in list1] )
    return result_max","def var1(list1):
    var2 = max([abs(var3 * var4) for var3, var4 in var5])
    return var2
","def string_to_list(string): 
    lst = list(string.split("" "")) 
    return lst"
"def adjac(ele, sub = []): 
  if not ele: 
     yield sub 
  else: 
     yield from [idx for j in range(ele[0] - 1, ele[0] + 2) 
                for idx in adjac(ele[1:], sub + [j])] 
def get_coordinates(test_tup):
  return list(adjac(test_tup))","def var1(ele, sub=[]):
    if not var2:
        yield var3
    else:
        yield from [var4 for var5 in range(var2[0] - 1, var2[0] + 2) for
            var4 in var1(var2[1:], var3 + [var5])]


def var6(test_tup):
    return list(var1(var7))
","import math
def otherside_rightangle(w,h):
  s=math.sqrt((w*w)+(h*h))
  return s"
"import re
def text_match_three(text):
        patterns = 'ab{3}?'
        return re.search(patterns,  text)","import re


def var1(text):
    var2 = 'ab{3}?'
    return var3.search(var2, var4)
","def Diff(li1,li2):
    return list(set(li1)-set(li2)) + list(set(li2)-set(li1))
 "
"def hexagonal_num(n): 
	return n*(2*n - 1)","def var1(n):
    return var2 * (2 * var2 - 1)
","def is_num_decagonal(n): 
	return 4 * n * n - 3 * n "
"def tuple_modulo(test_tup1, test_tup2):
  res = tuple(ele1 % ele2 for ele1, ele2 in zip(test_tup1, test_tup2)) 
  return (res)","def var1(test_tup1, test_tup2):
    var2 = tuple(var3 % var4 for var3, var4 in zip(var5, var6))
    return var2
","def find_even_pair(A): 
  count = 0
  for i in range(0, len(A)): 
    for j in range(i+1, len(A)): 
        if ((A[i] ^ A[j]) % 2 == 0): 
          count += 1

  return count"
"def second_smallest(numbers):
  unique_numbers = list(set(numbers))
  unique_numbers.sort()
  if len(unique_numbers) < 2:
    return None
  else:
    return unique_numbers[1]","def var1(numbers):
    var2 = list(set(var3))
    var2.sort()
    if len(var2) < 2:
        return None
    else:
        return var2[1]
","
def is_multiply_prime(a):
    def is_prime(n):
        for j in range(2,n):
            if n%j == 0:
                return False
        return True

    for i in range(2,101):
        if not is_prime(i): continue
        for j in range(2,101):
            if not is_prime(j): continue
            for k in range(2,101):
                if not is_prime(k): continue
                if i*j*k == a: return True
    return False"
"def sum_squares(lst):
    result =[]
    for i in range(len(lst)):
        if i %3 == 0:
            result.append(lst[i]**2)
        elif i % 4 == 0 and i%3 != 0:
            result.append(lst[i]**3)
        else:
            result.append(lst[i])
    return sum(result)","def var1(lst):
    var2 = []
    for var3 in range(len(var4)):
        if var3 % 3 == 0:
            var2.append(var4[var3] ** 2)
        elif var3 % 4 == 0 and var3 % 3 != 0:
            var2.append(var4[var3] ** 3)
        else:
            var2.append(var4[var3])
    return sum(var2)
","def check_min_heap_helper(arr, i):
    if 2 * i + 2 > len(arr):
        return True
    left_child = (arr[i] <= arr[2 * i + 1]) and check_min_heap_helper(arr, 2 * i + 1)
    right_child = (2 * i + 2 == len(arr)) or (arr[i] <= arr[2 * i + 2] 
                                      and check_min_heap_helper(arr, 2 * i + 2))
    return left_child and right_child

def check_min_heap(arr):
  return check_min_heap_helper(arr, 0)"
"import re
def replace_specialchar(text):
 return (re.sub(""[ ,.]"", "":"", text))","import re


def var1(text):
    return var2.sub('[ ,.]', ':', var3)
","
def search(lst):
    frq = [0] * (max(lst) + 1)
    for i in lst:
        frq[i] += 1;

    ans = -1
    for i in range(1, len(frq)):
        if frq[i] >= i:
            ans = i
    
    return ans"
"def minSubArraySum(nums):
    max_sum = 0
    s = 0
    for num in nums:
        s += -num
        if (s < 0):
            s = 0
        max_sum = max(s, max_sum)
    if max_sum == 0:
        max_sum = max(-i for i in nums)
    min_sum = -max_sum
    return min_sum","def var1(nums):
    var2 = 0
    var3 = 0
    for var4 in var5:
        var3 += -var4
        if var3 < 0:
            var3 = 0
        var2 = max(var3, var2)
    if var2 == 0:
        var2 = max(-var6 for var6 in var5)
    var7 = -var2
    return var7
","import re
def text_match_one(text):
        patterns = 'ab+?'
        if re.search(patterns,  text):
                return True
        else:
                return False
"
"def filter_data(students,h,w):
    result = {k: s for k, s in students.items() if s[0] >=h and s[1] >=w}
    return result","def var1(students, h, w):
    var2 = {var3: var4 for var3, var4 in var5.items() if var4[0] >= var6 and
        var4[1] >= var7}
    return var2
","
def is_happy(s):
    if len(s) < 3:
      return False

    for i in range(len(s) - 2):
      
      if s[i] == s[i+1] or s[i+1] == s[i+2] or s[i] == s[i+2]:
        return False
    return True"
"def count_element_in_list(list1, x): 
    ctr = 0
    for i in range(len(list1)): 
        if x in list1[i]: 
            ctr+= 1          
    return ctr","def var1(list1, x):
    var2 = 0
    for var3 in range(len(var4)):
        if var5 in var4[var3]:
            var2 += 1
    return var2
","import re
def change_date_format(dt):
        return re.sub(r'(\d{4})-(\d{1,2})-(\d{1,2})', '\\3-\\2-\\1', dt)"
"def intersection_array(array_nums1,array_nums2):
 result = list(filter(lambda x: x in array_nums1, array_nums2)) 
 return result","def var1(array_nums1, array_nums2):
    var2 = list(filter(lambda x: var3 in var4, var5))
    return var2
","
def decimal_to_binary(decimal):
    return ""db"" + bin(decimal)[2:] + ""db"""
"def find_Element(arr,ranges,rotations,index) :  
    for i in range(rotations - 1,-1,-1 ) : 
        left = ranges[i][0] 
        right = ranges[i][1] 
        if (left <= index and right >= index) : 
            if (index == left) : 
                index = right 
            else : 
                index = index - 1 
    return arr[index]","def var1(arr, ranges, rotations, index):
    for var2 in range(var3 - 1, -1, -1):
        var4 = var5[var2][0]
        var6 = var5[var2][1]
        if var4 <= var7 and var6 >= var7:
            if var7 == var4:
                var7 = var6
            else:
                var7 = var7 - 1
    return var8[var7]
","def recursive_list_sum(data_list):
	total = 0
	for element in data_list:
		if type(element) == type([]):
			total = total + recursive_list_sum(element)
		else:
			total = total + element
	return total"
"def eat(number, need, remaining):
    if(need <= remaining):
        return [ number + need , remaining-need ]
    else:
        return [ number + remaining , 0]","def var1(number, need, remaining):
    if var2 <= var3:
        return [var4 + var2, var3 - var2]
    else:
        return [var4 + var3, 0]
","def string_to_tuple(str1):
    result = tuple(x for x in str1 if not x.isspace()) 
    return result"
"def number_of_substrings(str): 
	str_len = len(str); 
	return int(str_len * (str_len + 1) / 2);","def var1(str):
    var2 = len(str)
    return int(var2 * (var2 + 1) / 2)
","def Find_Max_Length(lst):  
    maxLength = max(len(x) for x in lst )
    return maxLength "
"def max_sum_increasing_subseq(a, n, index, k):
	dp = [[0 for i in range(n)] 
			for i in range(n)]
	for i in range(n):
		if a[i] > a[0]:
			dp[0][i] = a[i] + a[0]
		else:
			dp[0][i] = a[i]
	for i in range(1, n):
		for j in range(n):
			if a[j] > a[i] and j > i:
				if dp[i - 1][i] + a[j] > dp[i - 1][j]:
					dp[i][j] = dp[i - 1][i] + a[j]
				else:
					dp[i][j] = dp[i - 1][j]
			else:
				dp[i][j] = dp[i - 1][j]
	return dp[index][k]","def var1(a, n, index, k):
    var2 = [[(0) for var3 in range(var4)] for var3 in range(var4)]
    for var3 in range(var4):
        if var5[var3] > var5[0]:
            var2[0][var3] = var5[var3] + var5[0]
        else:
            var2[0][var3] = var5[var3]
    for var3 in range(1, var4):
        for var6 in range(var4):
            if var5[var6] > var5[var3] and var6 > var3:
                if var2[var3 - 1][var3] + var5[var6] > var2[var3 - 1][var6]:
                    var2[var3][var6] = var2[var3 - 1][var3] + var5[var6]
                else:
                    var2[var3][var6] = var2[var3 - 1][var6]
            else:
                var2[var3][var6] = var2[var3 - 1][var6]
    return var2[var7][var8]
","def even_position(nums):
	return all(nums[i]%2==i%2 for i in range(len(nums)))"
